witb_start_single;3000;3000;3000;3000;2400;3000;3000;3000;2760;4750;3000;3000;6000;-1
witb_start_couple;-1;-1;-1;-1;3600;-1;-1;-1;-1;-1;-1;-1;-1;-1
witb_start_fam;3000;3000;3000;3000;-1;3000;3000;3000;2760;4750;3000;3000;6000;-1
witb_rate_single;0.25;0.25;0.25;0.25;0.205;0.25;0.25;0.25;0.2;0.204;0.25;0.25;0.051;-1
witb_rate_couple;-1;-1;-1;-1;0.205;-1;-1;-1;-1;-1;-1;-1;-1;-1
witb_rate_fam;0.25;0.25;0.25;0.25;-1;0.25;0.25;0.25;0.2;0.204;0.25;0.25;0.051;-1
witb_stop_single;7112;7112;7112;7112;10464;7112;7112;7112;8375;10838.24;6992;6992;-1;-1
witb_stop_couple;-1;-1;-1;-1;16190;-1;-1;-1;-1;-1;-1;-1;-1;-1
witb_stop_fam;10472;10472;10472;10472;-1;10472;10472;10472;11180;14417;10252;10252;-1;-1
witb_red_single;11675;11675;11675;11675;12067.39;11675;11675;11675;12230;12786;11675;11675;22237;-1
witb_red_couple;-1;-1;-1;-1;18529.3;-1;-1;-1;-1;-1;-1;-1;-1;-1
witb_red_1adch;-1;-1;-1;-1;12135.63;-1;-1;-1;-1;-1;-1;-1;-1;-1
witb_red_2adch;-1;-1;-1;-1;18682.79;-1;-1;-1;-1;-1;-1;-1;-1;-1
witb_red_fam;16122;16122;16122;16122;-1;16122;16122;16122;16678;17234;16122;16122;28352;-1
witb_redrate_single;0.15;0.15;0.15;0.15;-1;0.15;0.15;0.15;0.15;0.165;0.15;0.15;0.041;-1
witb_redrate_fam;0.15;0.15;0.15;0.15;-1;0.15;0.15;0.15;0.15;0.165;0.15;0.15;0.041;-1
witb_rate_1adch;-1;-1;-1;-1;0.12;-1;-1;-1;-1;-1;-1;-1;-1;-1
witb_rate_2adch;-1;-1;-1;-1;0.08;-1;-1;-1;-1;-1;-1;-1;-1;-1
witb_redrate_1ad;-1;-1;-1;-1;0.2;-1;-1;-1;-1;-1;-1;-1;-1;-1
witb_redrate_2ad;-1;-1;-1;-1;0.2;-1;-1;-1;-1;-1;-1;-1;-1;-1
awitb_start_single;1150;1150;1150;1150;1200;1150;1150;1150;910;2295;1150;1150;-1;-1
awitb_start_couple;-1;-1;-1;-1;1200;-1;-1;-1;-1;-1;-1;-1;-1;-1
awitb_start_fam;1150;1150;1150;1150;-1;1150;1150;1150;910;2295;1150;1150;-1;-1
awitb_rate_single;0.25;0.25;0.25;0.25;0.4;0.25;0.25;0.25;0.25;0.21;0.25;0.25;-1;-1
awitb_rate_couple;-1;-1;-1;-1;0.2;-1;-1;-1;-1;-1;-1;-1;-1;-1
awitb_rate_fam;0.25;0.25;0.25;0.25;-1;0.25;0.25;0.25;0.25;0.21;0.25;0.25;-1;-1
awitb_stop_single;3206;3206;3206;3206;2497.1;3206;3206;3206;2966;5023.57;3146;3146;-1;-1
awitb_stop_couple;-1;-1;-1;-1;2497.1;-1;-1;-1;-1;-1;-1;-1;-1;-1
awitb_stop_fam;3206;3206;3206;3206;-1;3206;3206;3206;2966;5024;3146;3146;-1;-1
awitb_red_single;18531;18531;18531;18531;20332.99;18531;18531;18531;19717;20308;17988;17988;-1;-1
awitb_red_couple;-1;-1;-1;-1;31434.05;-1;-1;-1;-1;-1;-1;-1;-1;-1
awitb_red_1adch;-1;-1;-1;-1;16974.03;-1;-1;-1;-1;-1;-1;-1;-1;-1
awitb_red_2adch;-1;-1;-1;-1;23718.79;-1;-1;-1;-1;-1;-1;-1;-1;-1
awitb_red_fam;28575;28575;28575;28575;-1;28575;28575;28575;27908;29170;27737;27737;-1;-1
awitb_redrate_single;0.15;0.15;0.15;0.15;0.2;0.15;0.15;0.15;0.15;0.17;0.15;0.15;-1;-1
awitb_redrate_couple;-1;-1;-1;-1;0.2;-1;-1;-1;-1;-1;-1;-1;-1;-1
awitb_redrate_fam;0.15;0.15;0.15;0.15;-1;0.15;0.15;0.15;0.15;0.17;0.15;0.15;-1;-1
