variable;value;type;definition;source ;comments
basic_amount;11474;float;;;
age_cred_amount;7125;float;;;
min_age_cred;65;int;;;
age_cred_exemption;35927;float;;;
age_cred_claw_rate;0.15;float;;;
pension_cred_amount;2000;float;;;
disability_cred_amount;8001;float;;;
rate_non_ref_tax_cred;0.15;float;;;
rate_abatment_qc;0.165;float;;;
ccb_young_max_age;5;int;;;
ccb_old_max_age;17;int;;;
ccb_young;6400;float;;https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-child-benefit-overview/canada-child-benefit-ccb-payment-amounts.html;
ccb_old;5400;float;;;
ccb_max_num_ch;4;int;;;
ccb_cutoff_1;30000;float;;;
ccb_cutoff_2;65001;float;;;
ccb_rate_1_1ch;0.07;float;;;
ccb_rate_1_2ch;0.135;float;;;
ccb_rate_1_3ch;0.19;float;;;
ccb_rate_1_4ch;0.23;float;;;
ccb_rate_2_1ch;0.032;float;;;
ccb_rate_2_2ch;0.057;float;;;
ccb_rate_2_3ch;0.08;float;;;
ccb_rate_2_4ch;0.095;float;;;
