variable;value;type;definition;source ;comments
work_deduc_max;1190;float;;https://www.revenuquebec.ca/fr/entreprises/retenues-et-cotisations/trousse-employeur/principaux-changements-pour-2020/;1.72% indexation rate
work_deduc_rate;0.06;float;;;assumed constant
nrtc_age_max;3212;float;;;
nrtc_age;65;int;;;assumed constant
nrtc_single;1780;float;;;
nrtc_pension_max;2902;float;;;
nrtc_pension_factor;1.25;float;;;assumed constant
nrtc_claw_rate;0.1875;float;;;assumed constant
nrtc_claw_cutoff;35205;float;;;
nrtc_rate;0.15;float;;;assumed constant
nrtc_base;15532;float;;;
nrtc_disabled;3449;float;;;
ccap_max_age;18;int;;https://cffp.recherche.usherbrooke.ca/outils-ressources/guide-mesures-fiscales/allocation-famille-soutien-enfants/;  
ccap_claw_rate;0.04;float;;;
ccap_claw_cutoff_couple;49842;float;;;
ccap_claw_cutoff_single;36256;float;;;
ccap_amount_single_min;352;float;;;
ccap_amount_single_max;882;float;;;
ccap_kid1_min;1000;float;;;
ccap_kid1_max;2515;float;;;
ccap_kid23_min;1000;float;;;
ccap_kid23_max;2515;float;;;
ccap_kid4p_min;1000;float;;;
ccap_kid4p_max;2515;float;;;
