variable;value;type;definition;source;comments
begin_months;1;int;;;
crb_min_inc_work;5000;float;;;
crb_base_original;2000;float;;; i.e 1000*2 pour un mois
crb_base_reduced;1200;float;;; i.e deuxieme palier (600*2) pour un mois
crb_clawback;38000;float;;;
crb_rate;0.5;float;;;
crb_months_clawback;7;int;;;
crb_max_months;10;int;;;
begin_april;3;int;;;programs begin in april 2020 (march 15th in reality)
cerb_base;2000;float;;https://www.canada.ca/en/revenue-agency/services/benefits/apply-for-cerb-with-cra.html;
cerb_min_inc_work;5000;float;;;
cerb_max_earn;1000;float;;;max monthly earnings allowed
cerb_max_months;6.5;float;;;
cesb_base;1250;float;;https://www.canada.ca/en/employment-social-development/news/2020/04/government-of-canada-introduces-legislation-to-support-students-in-need.html;
cesb_supp;750;float;;;
cesb_max_months;4;int;;;
cesb_max_earn;1000;float;;;max monthly earnings allowed
iprew_min_inc_work;5000;float;;https://www.revenuquebec.ca/fr/salle-de-presse/actualites/details/167331/2020-04-03/;
iprew_max_inc_tot;28600;float;;;
iprew_monthly_amount;400;float;;;
iprew_max_earn;2500;float;;;max monthly earnings allowed
iprew_max_months;4;int;;;iprew lasted 4 months
