variable;value;type;definition;source;comments
base_single;2400;int;;https://www.taxtips.ca/filing/canada-workers-benefit/cwb-2021-quebec.htm;
base_couple;3600;int;;;
rate_single_dep;0.2;float;;;
rate;0.373;float;;;
rate_couple_dep;0.239;float;;;
max_single;3201.09;float;;;
max_single_dep;1716.4;float;;;
max_couple;5000.44;float;;;
max_couple_dep;3204.03;float;;;
exempt_single;12385.8;float;;;
exempt_single_dep;12402.83;float;;;
exempt_couple;19001.73;float;;;
exempt_couple_dep;19051.09;float;;;
exempt_cutoff;14000;int;;;
claw_rate;0.2;float;;;
dis_base;1200;int;;;
dis_max;721.01;float;;;
dis_rate_single;0.4;float;;;
dis_rate_couple;0.2;float;;;
dis_exempt_single;28391.25;float;;;
dis_exempt_single_dep;20984.83;float;;;
dis_exempt_couple;44003.93;float;;;
dis_exempt_couple_dep;35071.24;float;;;
dis_claw_rate;0.2;float;;;
dis_couple_claw_rate;0.1;float;;;both spouses disabled
