variable;value;type;definition;source;comments
div_elig_factor;1.38;float;;;
div_other_can_factor;1.16;float;;;
div_elig_cred_rate;0.150198;float;;;
div_other_can_cred_rate;0.100313;float;;;
cap_gains_rate;0.5;float;;;
qpip_deduc_rate;0.43679;float;;;
basic_amount;11809;float;;T1-2018 Schedule 1;
age_cred_amount;7333;float;;;
min_age_cred;65;int;;;
age_cred_exempt;36976;float;;T1-2018 Federal Worksheet;
age_cred_claw_rate;0.15;float;;;
empl_cred_max;1195;float;;;
pension_cred_amount;2000;float;;T1-2018 Federal Worksheet;
pension_cred_min_age_split;65;int;;;
disability_cred_amount;8235;float;;;
med_exp_nr_cred_max_age;18;int;;guide fiscal 2018;
med_exp_nr_cred_max_claw;2302;float;;guide fiscal 2018;
med_exp_nr_cred_rate;0.03;float;;guide fiscal 2018;
donation_frac_net;0.75;float;;;
donation_low_cut;200;float;;;
donation_high_cut;205842;float;;;
donation_low_rate;0.15;float;;;
donation_med_rate;0.29;float;;;
donation_high_rate;0.33;float;;;
rate_non_ref_tax_cred;0.15;float;;;
rate_abatment_qc;0.165;float;;T1 General 2018;
ccb_young;6496;float;;https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-child-benefit-overview/canada-child-benefit-ccb-calculation-sheet-july-2018-june-2019-payments-2017-tax-year.html;
ccb_old;5481;float;;;
ccb_max_num_ch;4;int;;;
ccb_cutoff_1;30450;float;;;
ccb_cutoff_2;65975;float;;;
ccb_rate_1_1ch;0.07;float;;;
ccb_rate_1_2ch;0.135;float;;;
ccb_rate_1_3ch;0.19;float;;;
ccb_rate_1_4ch;0.23;float;;;
ccb_rate_2_1ch;0.032;float;;;
ccb_rate_2_2ch;0.057;float;;;
ccb_rate_2_3ch;0.08;float;;;
ccb_rate_2_4ch;0.095;float;;;
med_exp_rate;0.25;float;;;
med_exp_claw_rate;0.05;float;;TP1 D. 2018;
med_exp_claw_cutoff;27044;float;;;
med_exp_max;1222;float;;;
med_exp_min_work_inc;3566;float;;;
gst_cred_claw_rate;0.05;float;;https://www.canada.ca/en/revenue-agency/services/child-family-benefits/goods-services-tax-harmonized-sales-tax-gst-hst-credit/gst-hst-credit-calculation-sheets.html;
gst_cred_claw_cutoff;36976;float;;;
gst_cred_base;284;float;;;
gst_cred_other;149;float;;;
gst_cred_rate;0.02;float;;;
gst_cred_base_amount;9209;float;;;
chcare_young;8000;float;;;
chcare_old;5000;float;;;
chcare_rate_inc;0.66666;float;;;
