variable;value;type;definition;source ;comments
div_elig_factor;1.38;float;;;
div_other_can_factor;1.15;float;;;
div_elig_cred_net_rate;0.162564;float;;;
div_other_can_cred_net_rate;0.063825;float;;;
cap_gains_rate;0.5;float;;;
qpip_deduc_rate;0.43683;float;;annexe R;
work_deduc_max;1170;float;;;
work_deduc_rate;0.06;float;;;
nrtc_age_max;3212;float;;;
nrtc_age;65;int;;;
nrtc_living_alone;1750;float;;;
nrtc_pension_max;2853;float;;;
nrtc_pension_factor;1.25;float;;;
nrtc_claw_rate;0.1875;float;;;
nrtc_claw_cutoff;34610;float;;;
nrtc_rate;0.15;float;;;
nrtc_base;15269;float;;;
nrtc_disabled;3391;float;;TP-1.D.B;
nrtc_med_exp_rate;0.03;float;;;
nrtc_donation_low_cut;200;float;;;
nrtc_donation_high_cut;106555;float;;;
nrtc_donation_low_rate;0.20;float;;;
nrtc_donation_med_rate;0.24;float;;;
nrtc_donation_high_rate;0.2575;float;;;
nrtc_union_dues_rate;0.10;float;;https://cffp.recherche.usherbrooke.ca/outils-ressources/guide-mesures-fiscales/allocation-famille-soutien-enfants/;
ccap_claw_rate;0.04;float;;;
ccap_claw_cutoff_couple;49044;float;;;
ccap_claw_cutoff_single;35680;float;;;
ccap_amount_single_min;346;float;;;
ccap_amount_single_max;867;float;;;
ccap_kid1_min;694;float;;;
ccap_kid1_max;2472;float;;;
ccap_kid23_min;641;float;;;
ccap_kid23_max;1735;float;;;
ccap_kid4p_min;641;float;;;
ccap_kid4p_max;1852;float;;;
chcare_young;9660;float;;;
chcare_old;5085;float;http://www.cqff.com/liens/solidarite.pdf;;
solidarity_tvq_base;292;float;;;
solidarity_housing_kid;121;float;;;
solidarity_tvq_couple;292;float;;;
solidarity_housing_not_alone;687;float;;;
solidarity_tvq_single;139;float;;;
solidarity_housing_alone;567;float;;;
solidarity_cutoff;34800;float;;;
solidarity_rate_total;0.06;float;;;
solidarity_rate_tvq;0.03;float;https://cffp.recherche.usherbrooke.ca/outils-ressources/guide-mesures-fiscales/credit-impot-remboursable-prime-travail/;;
witb_rate_couple_dep;0.25;float;;;
witb_rate;0.105;float;;;
witb_cut_inc_low_couple;3600;float;;;
witb_cut_inc_high_couple;16584;float;;;
witb_rate_single_dep;0.30;float;;;
witb_cut_inc_low_single;2400;float;;;
witb_cut_inc_high_single;10720;float;;;
witb_claw_rate;0.10;float;;;
home_supp_min_age;70;int;;;
home_supp_max_dep;25500;float;;;
home_supp_max_non_dep;19500;float;;;
home_supp_claw_rate;0.03;float;;;
home_supp_cutoff;58380;float;;;
home_supp_rate;0.35;float;;;
senior_assist_min_age;70;int;;;
senior_assist_amount;203;float;;;
senior_assist_claw_rate;0.05;float;;;
senior_assist_cutoff_couple;37225;float;;;
senior_assist_cutoff_single;22885;float;TP-1.D;;
med_exp_rate;0.25;float;;;
med_exp_claw_rate;0.05;float;;;
med_exp_claw_cutoff;23300;float;;;
med_exp_max;1205;float;;;
med_exp_min_work_inc;3080;float;;;
exp_work_min_age;60;int;;;
exp_work_claw_rate;0.05;float;;;
exp_work_cut_inc;34610;float;;;
exp_work_rate;0.15;float;;;
exp_work_min_inc;5000;float;;;
exp_work_max_work_inc_60;10000;float;;;
exp_work_max_work_inc_61;10000;float;;;
exp_work_max_work_inc_62;10000;float;;;
exp_work_max_work_inc_63;10000;float;;;
exp_work_max_work_inc_64;10000;float;;;
exp_work_max_work_inc_65;11000;float;;;
exp_work_age_born_bef51;69;int;;;
exp_work_min_amount_born_51;600;float;;;
