variable;value;type;definition;source;comments
div_elig_factor;1.38;float;;;ok
div_other_can_factor;1.15;float;;;ok
div_elig_cred_net_rate;0.16146;float;;https://cffp.recherche.usherbrooke.ca/outils-ressources/guide-mesures-fiscales/credit-impot-dividendes/;
div_other_can_cred_net_rate;0.054855;float;;;
cap_gains_rate;0.5;float;;; ok
qpip_deduc_rate;0.43736;float;;;*on assume le meme quand 2020 car taux ne varie pas bcp ok
work_deduc_max;1205;float;;https://www.revenuquebec.ca/fr/entreprises/retenues-et-cotisations/trousse-employeur/principaux-changements-pour-2020/;1.26% indexation rate ok
work_deduc_rate;0.06;float;;;assumed constant ok
nrtc_age_max;3308;float;;http://www.finances.gouv.qc.ca/documents/Autres/fr/AUTFR_RegimeImpot2021.pdf; ok (avec indexation)
nrtc_age;65;int;;;assumed constant ok
nrtc_living_alone;1802;float;;http://www.finances.gouv.qc.ca/documents/Autres/fr/AUTFR_RegimeImpot2021.pdf; ok (avec indexation)
nrtc_pension_max;2939;float;;http://www.finances.gouv.qc.ca/documents/Autres/fr/AUTFR_RegimeImpot2021.pdf; ok (avec indexation)
nrtc_pension_factor;1.25;float;;;assumed constant ok
nrtc_claw_rate;0.1875;float;;;assumed constant ok
nrtc_claw_cutoff;35650;float;;; ok
nrtc_rate;0.15;float;;;assumed constant ok
nrtc_base;15728;float;;http://www.finances.gouv.qc.ca/documents/Autres/fr/AUTFR_RegimeImpot2021.pdf; ok (avec indexation)
nrtc_disabled;3492;float;;http://www.finances.gouv.qc.ca/documents/Autres/fr/AUTFR_RegimeImpot2021.pdf; ok (avec indexation)
nrtc_med_exp_rate;0.03;float;;; assumed constant ok
nrtc_donation_low_cut;200;float;;; ok
nrtc_donation_high_cut;109754;float;montant de 2020 ajuste avec le taux d'indexation de 2020;;108 388$  * (1.0126)
nrtc_donation_low_rate;0.20;float;;; ok
nrtc_donation_med_rate;0.24;float;;; ok
nrtc_donation_high_rate;0.2575;float;;; ok
nrtc_union_dues_rate;0.10;float;;; assumed constant ok
hsf_high_inc;53410;int;;; indexé par 1.0126
hsf_low_inc;15360;int;;; indexé par 1.0126
hsf_low_cutoff;150;int;;;
hsf_high_cutoff;1000;int;;;
hsf_rate;0.01;float;;;
ccap_claw_rate;0.04;float;;; ok
ccap_claw_cutoff_couple;50521;float;;http://www.finances.gouv.qc.ca/documents/Autres/fr/AUTFR_RegimeImpot2021.pdf; ok
ccap_claw_cutoff_single;36728;float;;http://www.finances.gouv.qc.ca/documents/Autres/fr/AUTFR_RegimeImpot2021.pdf; ok 
ccap_amount_single_min;356;float;;http://www.finances.gouv.qc.ca/documents/Autres/fr/AUTFR_RegimeImpot2021.pdf; ok
ccap_amount_single_max;893;float;;http://www.finances.gouv.qc.ca/documents/Autres/fr/AUTFR_RegimeImpot2021.pdf; ok
ccap_kid1_min;1013;float;;http://www.finances.gouv.qc.ca/documents/Autres/fr/AUTFR_RegimeImpot2021.pdf; ok
ccap_kid1_max;2547;float;;http://www.finances.gouv.qc.ca/documents/Autres/fr/AUTFR_RegimeImpot2021.pdf; ok
ccap_kid23_min;1013;float;;; ok
ccap_kid23_max;2547;float;;;  ok
